Total Canvases Found: 9
==================================================
ROOT: Canvas_a5_Quest
Canvas_a5_Quest | MIN:(0.00, 0.00) | MAX:(0.00, 0.00) | PIVOT:(0.50, 0.50) | POS:(540.00, 960.00) | SIZE:(1080.00, 1920.00)
Canvas_a5_Quest/Panel_AA101_Header | MIN:(0.00, 1.00) | MAX:(1.00, 1.00) | PIVOT:(0.50, 1.00) | POS:(0.00, -63.00) | SIZE:(0.00, 90.00)
Canvas_a5_Quest/Panel_AA101_Header/Btn_Close_b101 | MIN:(1.00, 0.50) | MAX:(1.00, 0.50) | PIVOT:(1.00, 0.50) | POS:(-72.00, 0.00) | SIZE:(90.00, 90.00)
Canvas_a5_Quest/Panel_AA101_Header/Btn_Close_b101/Text | MIN:(0.00, 0.00) | MAX:(1.00, 1.00) | PIVOT:(0.50, 0.50) | POS:(0.00, 0.00) | SIZE:(0.00, 0.00)
Canvas_a5_Quest/Panel_AD601_ScrollView | MIN:(0.00, 0.00) | MAX:(1.00, 1.00) | PIVOT:(0.50, 1.00) | POS:(0.00, -153.00) | SIZE:(0.00, -413.00)
Canvas_a5_Quest/Panel_AD601_ScrollView/Viewport | MIN:(0.00, 0.00) | MAX:(1.00, 1.00) | PIVOT:(0.50, 0.50) | POS:(0.00, -125.00) | SIZE:(0.00, -250.00)
Canvas_a5_Quest/Panel_AD601_ScrollView/Viewport/Content | MIN:(0.00, 0.50) | MAX:(1.00, 0.50) | PIVOT:(0.50, 1.00) | POS:(0.00, 628.50) | SIZE:(-180.00, 896.00)
Canvas_a5_Quest/Panel_AD601_ScrollView/Viewport/Content/Group_9 | MIN:(0.00, 1.00) | MAX:(0.00, 1.00) | PIVOT:(0.50, 0.50) | POS:(450.00, -70.00) | SIZE:(900.00, 100.00)
Canvas_a5_Quest/Panel_AD601_ScrollView/Viewport/Content/Group_9/Background | MIN:(0.00, 0.00) | MAX:(1.00, 1.00) | PIVOT:(0.50, 0.50) | POS:(0.00, 0.00) | SIZE:(0.00, 0.00)
Canvas_a5_Quest/Panel_AD601_ScrollView/Viewport/Content/Group_9/AD619_Icon | MIN:(0.00, 0.50) | MAX:(0.00, 0.50) | PIVOT:(0.00, 0.50) | POS:(20.00, 0.00) | SIZE:(80.00, 80.00)
Canvas_a5_Quest/Panel_AD601_ScrollView/Viewport/Content/Group_9/QuestInfo | MIN:(0.00, 0.00) | MAX:(1.00, 1.00) | PIVOT:(0.50, 0.50) | POS:(0.00, 0.00) | SIZE:(-220.00, -20.00)
Canvas_a5_Quest/Panel_AD601_ScrollView/Viewport/Content/Group_9/QuestInfo/QT109_Title | MIN:(0.00, 1.00) | MAX:(1.00, 1.00) | PIVOT:(0.50, 1.00) | POS:(0.00, -5.00) | SIZE:(0.00, 30.00)
Canvas_a5_Quest/Panel_AD601_ScrollView/Viewport/Content/Group_9/QuestInfo/QT109_Desc | MIN:(0.00, 0.50) | MAX:(1.00, 0.50) | PIVOT:(0.50, 0.50) | POS:(0.00, 0.00) | SIZE:(0.00, 20.00)
Canvas_a5_Quest/Panel_AD601_ScrollView/Viewport/Content/Group_9/QuestInfo/QTP109_ProgressBar | MIN:(0.00, 0.00) | MAX:(1.00, 0.00) | PIVOT:(0.50, 0.00) | POS:(0.00, 5.00) | SIZE:(0.00, 20.00)
Canvas_a5_Quest/Panel_AD601_ScrollView/Viewport/Content/Group_9/QuestInfo/QTP109_ProgressBar/ProgressBar_Background | MIN:(0.00, 0.00) | MAX:(1.00, 1.00) | PIVOT:(0.50, 0.50) | POS:(0.00, 0.00) | SIZE:(0.00, 0.00)
Canvas_a5_Quest/Panel_AD601_ScrollView/Viewport/Content/Group_9/QuestInfo/QTP109_ProgressBar/ProgressBar_Background/ProgressBar_Fill | MIN:(0.00, 0.00) | MAX:(0.00, 1.00) | PIVOT:(0.00, 0.50) | POS:(0.00, 0.00) | SIZE:(100.00, 0.00)
Canvas_a5_Quest/Panel_AD601_ScrollView/Viewport/Content/Group_9/QuestInfo/QTP109_ProgressBar/ProgressBar_Background/ProgressText | MIN:(0.00, 0.00) | MAX:(1.00, 1.00) | PIVOT:(0.50, 0.50) | POS:(0.00, 0.00) | SIZE:(0.00, 0.00)
